,customer_id,time_duration,event_day_2020/10/27,event_day_2020/10/28,event_day_2020/10/29,event_day_2020/10/30,event_day_2020/10/31,event_day_2020/11/1,gender_woman,age_10's,age_20's,age_30's,age_40's,age_50's,age_60's,age_Over70's,area1_max_time_duration,area2_max_time_duration,area3_max_time_duration,area4_max_time_duration,area5_max_time_duration,buy_flag
148,20201026-020262,46.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,37.6,0.0,0.0,0.0,0.0,1
149,20201026-020269,81.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,64.6,0.0,0.0,1
150,20201026-020271,21.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,4.6,0.0,0.0,0.0,1
151,20201026-020280,45.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,32.0,0.0,0.0,0.0,1
152,20201026-020281,118.2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19.4,88.8,0.0,0.0,0.0,1
153,20201026-020283,60.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,15.2,0.0,0.0,0.0,1
154,20201026-020284,57.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,22.6,0.0,0.0,8.0,0.0,1
155,20201026-020285,30.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16.6,0.0,0.0,0.0,0.0,1
156,20201026-020296,16.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.2,0.0,0.0,0.0,0.0,1
157,20201026-020298,34.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,14.8,0.0,0.0,1
158,20201026-020302,54.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,9.6,36.8,0.0,0.0,1
159,20201026-020309,12.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,6.4,0.0,0.0,0.0,1
160,20201026-020310,23.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,12.6,0.0,0.0,0.0,1
161,20201026-020312,19.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,19.2,0.0,0.0,0.0,0.0,1
162,20201026-020314,25.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,16.0,0.0,0.0,1
163,20201026-020315,28.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,9.4,0.0,0.0,0.0,1
164,20201026-020325,10.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,9.8,1
165,20201026-020326,15.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3.6,0.0,0.0,0.0,0.0,1
166,20201026-020327,27.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27.6,0.0,0.0,0.0,0.0,1
167,20201026-030002,95.8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,85.2,0.0,0.0,1
168,20201026-030004,18.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,11.6,0.0,0.0,1
169,20201026-030006,12.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,3.2,0.0,0.0,0.0,1
170,20201026-030008,24.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,10.6,0.0,0.0,0.0,1
171,20201026-030010,27.6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,25.4,1
172,20201026-030012,30.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.0,0.0,9.4,0.0,0.0,1
173,20201026-030020,249.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,31.2,19.6,104.2,0.0,0.0,1
174,20201026-030021,14.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,5.8,0.0,0.0,0.0,1
